Terms,Document_Count
تذكر,415
ذهاب,725
مشاهد,269
ألعاب,156
نار,89
عز,115
أصدقاء,1007
مر,726
أولى,301
قضة,78
قت,174
مفرد,184
مع,187
رغم,587
جود,181
كثير,2153
أشخاص,250
شعر,3934
وحيد,144
عالم,216
فضل,712
صديق,1952
اشتاق,29
أعاد,190
تحدث,526
ضرب,188
جدار,20
فارغ,61
رأى,941
ظلام,51
أمر,1851
عجيب,2
ظن,98
عمل,3196
كنت,6305
عرق,36
مرحب,171
حالك,15
يوم,3442
حاول,811
يم,413
شخص,1425
اصطدم,81
غش,85
زوج,1066
كنى,1340
سهل,159
خور,204
فعل,2025
مقابل,438
جعل,1016
دائم,883
سبب,510
رصاص,17
مرتاح,47
شكل,722
عام,1356
نظر,319
مجهر,2
قبيل,94
رغب,308
استعداد,171
إلقاء,38
كرة,288
منحنى,7
طالب,68
مدرس,1014
هندسة,21
علم,856
حاسوب,3
سعيد,1193
جد,2676
إنجاز,68
عائل,697
قد,7298
فقد,288
وظيف,785
ماضي,1617
غضب,111
حق,2715
مفاجأة,88
كامل,247
عيد,531
ميلاد,498
سنوات,818
حصل,1807
هدايا,72
وقت,1121
مناسب,138
ونى,2493
ملك,92
أسوأ,232
زملاء,168
بعد,11
كن,1151
مؤسف,15
لاعب,42
متحيز,3
مثير,131
فضول,13
ذهب,1789
حديقة,163
وضع,247
مقعد,33
لاحظ,103
محفظة,96
جاء,176
رجل,628
خلف,127
عاد,780
على,475
ممتن,206
لد,2123
مال,621
يتم,238
رفض,88
طوال,531
انبغى,111
كوى,800
عذر,14
تثني,1
وصول,131
أهداف,21
مكان,599
ردى,184
واحد,768
اضطر,575
صعود,21
منزل,1947
إعصار,62
قادم,356
حسن,887
حظ,382
رام,235
مرحلة,65
سقط,147
سروال,91
فصل,188
أكمل,86
حرج,89
شديد,639
كاد,163
كي,51
جميع,462
ضحك,187
علي,662
اعتقد,2196
سار,232
نحو,17
شاطئ,139
غير,110
مسار,51
اتجه,20
مباشر,85
مغادر,103
ثاني,133
إجازة,344
فرق,88
أحدث,10
إحدى,77
أمس,274
شجر,37
اخترق,7
سقف,36
أمتار,1
قليل,746
ابن,496
واقع,288
خارج,411
مد,527
خمس,41
أشهر,260
إجراء,135
إصلاح,137
مضى,109
أسبوع,2027
شاهد,373
أس,106
كروات,15
تهزم,1
دول,45
مضيف,6
روس,27
بلد,141
شك,171
سماح,40
بعض,204
فوز,128
زميل,227
سأل,112
أسئلة,27
كيفية,98
استخدام,139
هاتف,230
محمول,69
تقريب,178
خبر,555
هواتف,27
استخدم,117
حذف,3
جهة,3
اتصال,140
خاصة,520
شاحن,119
عطل,371
نهاية,904
نفق,58
دولار,389
قطع,234
غيار,6
أداة,8
زال,40
صلح,12
خطأ,301
محرك,31
جمال,13
قاد,54
انفجر,34
اهتز,12
امتلك,94
قوة,74
أوقات,170
أخرى,739
قود,133
استبدل,4
أشياء,717
شيء,2391
حدث,521
فترة,435
طويل,545
وجد,498
نفس,587
مطلق,45
أول,480
حي,550
عيش,300
وحد,363
طريق,733
اعتاد,187
عزلة,18
فخر,32
حقق,45
حلم,53
تحقيق,65
غفا,9
!,168
غاب,42
أهبط,3
مبنى,24
مذهل,86
مضحك,86
بن,77
تخييم,65
طفل,850
رائع,1164
خطط,196
إشعال,4
حريق,25
تخطيط,35
جديد,1476
انفجار,29
انتقل,247
تو,1117
تم,758
بناء,102
ديكور,2
أجهزة,31
شاب,30
تناول,517
شراب,18
انتشر,6
معي,232
مشروب,61
نسب,501
لحظ,76
التقط,70
ارتكب,44
لاحق,113
ليل,1118
بدأ,427
ضيق,155
أمة,390
تقيؤ,25
سدى,19
ثوب,15
عرف,237
متزوج,52
أسابيع,193
علاقة,137
غرام,41
مستمر,14
زفاف,64
استعادة,42
نوم,208
مقرب,46
ذنب,92
خجل,148
طبيعة,67
اختار,50
بقاء,140
أخذ,482
والد,877
سيار,1416
مندهش,64
شراء,279
زل,406
اقترب,70
سن,272
أربع,14
فكر,624
مراهق,59
أوائل,9
عشرين,8
عمر,558
حظي,19
متع,104
قضى,148
بحث,225
مقال,6
قبل,56
مجلة,6
نشر,44
شاعر,3
قرون,2
وسطى,4
جيفري,1
قرن,7
رابع,30
عشر,114
مزعج,161
دفع,481
جنون,199
بواب,34
كسر,157
تمثال,7
صغير,648
قدم,507
أخ,256
مهم,109
ممكن,84
قديم,531
أعطى,299
استطاع,691
تحمل,174
عدم,305
حساس,42
نوادل,1
خدم,134
