,Context,Response,Text,ID
20125,خائف,أوه هل هذا هو الأحدث؟ لم ألعب على واحدة منذ سوبر نينتندو!,أخشى كيف يعمل Nintendo Switch مؤخرًا على تأخير أو إلغاء الكثير من الألعاب,20125
20126,خائف,ما هو شكل اللعب هل هي واقع افتراضي /؟,إنها وحدة تحكم رائعة ولكن التأخيرات قاتلة,20126
20127,حنين,هذا ليس ممتعًا أبدًا. آمل أن تتمكن من تخصيص الوقت معهم الأسبوع المقبل.,شعرت بالوحدة الجميلة الأسبوع الماضي. كان كل أصدقائي مشغولين,20127
20128,حنين,الأصدقاء الطيبون يستحقون المحاولة مرارًا وتكرارًا.,سأحاول بالتأكيد,20128
20129,تأثرت,معجزة ، أليس كذلك؟ ما هي الآلة التي يعزف عليها؟,ابني عمره 10 سنوات وهو موسيقي جيد جدا.,20129
20130,تأثرت,هذا رائع! هل لديه أي حفلات قادمة؟,إنه يعزف على البيانو. هو جيد جدا في ذلك. أنا منبهر جدا.,20130
20131,غيور,اشترى أخي للتو ساعة جديدة وأريدها سيئة للغاية.,اشترى أخي للتو ساعة جديدة وأريدها سيئة للغاية.,20131
20132,غيور,لا أستطيع تحمله ولكن ربما يعطيه لي في عيد الميلاد.,لماذا لا تشتريه؟,20132
20133,قلق,اتمنى لك الحصول عليها! ما نوع الوظيفة التي تقدمت لها,كنت متوترة عند ذهابي إلى مقابلة العمل. لم يكن لدي أي فكرة عما يمكن توقعه,20133
20134,قلق,ما هي السمات التي لديك والتي تجعلك تعتقد أنك مؤهل للوظيفة,كانت وظيفة تسويق,20134
20135,معد,من الجيد أن تكون مستعدًا,في الموعد الأول ، لا أتوقع أكثر من محادثة شيقة ، ضحكات جيدة ووجبة لذيذة في مطعم راقي. لكني أحضر دائمًا غسول الفم وبعض الواقي الذكري تحسباً,20135
20136,معد,يجب أن أبدأ في فعل ذلك,على الاطلاق. لا تفشل ابدا,20136
20137,رعاية,من اللطيف أن يكون لديك أصدقاء مثل هذا,ماتت قطتي مؤخرًا وزملائي في العمل لي الزهور. يمكن أن تكون مدروسة للغاية في بعض الأحيان. يجعلني أشعر بالرضا.,20137
20138,رعاية,من الجيد أن يكون لديك أشخاص هناك دائمًا,هو حقا. من المفيد معرفة أنهم كانوا يفكرون في مشاعري.,20138
20139,خائف,أنا أكره ذلك. خاصة في الليل. يمكن أن يكون مخيفا جدا.,كنت خائفة قليلا خلال عطلة نهاية الأسبوع. كل ما فعلته كان المطر والعاصفة,20139
20140,خائف,قد تضطر إلى النوم والأضواء مضاءة في المرة القادمة التي يحدث فيها ذلك. هاها,كان ذلك بالتأكيد,20140
20141,خائب الامل,ليس شيئًا جيدًا أبدًا هل كان لديها سبب وجيه أو طلبت إعادة الجدولة؟,كنت حزيناً قليلاً خلال عطلة نهاية الأسبوع. فتاة ألغت موعدنا,20141
20142,خائب الامل,هذا ليس ممتعًا ولكن ربما كان الأفضل.,لا ليس حقيقي,20142
20143,بهيجة,يجب أن يكون هذا لطيفا. ماذا صنعوا لك؟,كنت سعيدا هذا الصباح. أعد لي صديق فطورًا لطيفًا,20143
20144,بهيجة,لطيف جدا. هل استمتعت بها؟,عجة ولحم مقدد,20144
20145,دمر,أوه لا ، هل يمكن أن يخلص,لقد تحطمت سيارتي الكلاسيكية المفضلة. لقد حصلت عليه منذ أن كان عمري 16 عامًا.,20145
20146,دمر,أنا آسف لما حدث لك,للاسف لا. أنا حزين جدا. ربما لن أتمكن حتى من شراء واحدة أخرى لأنها نادرة جدًا.,20146
20147,بهيجة,يا إلهى! أنا سعيد لأن لديك شيئًا ما هو هواية صحية,عندما فاز النسور أخيرًا بالسوبر بول ، كنت سعيدًا جدًا لدرجة أنني بكيت,20147
20148,بهيجة,هذا بارد! من الجيد دائمًا أن يكون لديك هواية,أنا أيضًا جزء كبير من وقتي في مشاهدة الألعاب والشرائط,20148
20149,خائب الامل,هل لديك مثال؟,أنا حزين لأن الناس يجب أن تجعل الآخرين أيامهم سيئة.,20149
20150,خائب الامل,هذا ليس ممتعًا أبدًا ، فأنا دائمًا أرد الجميل,عندما تقضي يومًا لائقًا أخيرًا وشخص تعرفه ترى هذا ويجب أن يكون لئيمًا معك.,20150
20151,مذعور,أنا لا أحب الأفلام الدامية بل المخيفة. اعتدت أن أكون بنفس الطريقة التي كنت على الرغم من ذلك.,اعتدت أن أكون خائفًا للغاية من أفلام الرعب ، لكن بمجرد أن بدأت في مشاهدتها مع أشخاص آخرين ، كنت على ما يرام معها,20151
20152,مذعور,لن أفعل إما هاها فقط ليس الشيء الخاص بي!,نعم ، لن أحب الأفلام الدامية على الإطلاق,20152
20153,وحيد,آه ربما سيبحث عنك. لا يزال بإمكانها الاتصال؟,كانت عطلة نهاية أسبوع قاتمة. فتاة لم تتصل بي كما قالت,20153
20154,وحيد,حسنًا ، حتى لو لم تكن كذلك ، يمكنك دائمًا أن تكون صريحًا معها واسألها فقط إذا لم تكن في داخلك ، ثم أعلمك بذلك حتى تتمكن من المضي قدمًا.,أعتقد أنني لست واثقًا من ذلك رغم ذلك,20154
